Data,Nie zindeksowano,Zindeksowano,Wyświetlenia
2026-05-24,,,3
2026-05-25,2,2,5
2026-05-26,2,2,3
2026-05-27,2,2,1
2026-05-28,2,2,5
2026-05-29,2,2,11
2026-05-30,2,2,6
2026-05-31,2,2,5
2026-06-01,2,2,6
2026-06-02,3,1,3
2026-06-03,3,1,1
2026-06-04,3,1,3
2026-06-05,3,1,1
2026-06-06,3,1,4
2026-06-07,3,1,4
2026-06-08,3,1,6
2026-06-09,4,1,1
2026-06-10,4,1,2
2026-06-11,4,1,2
2026-06-12,4,1,2
2026-06-13,5,1,1
2026-06-14,5,1,4
2026-06-15,5,1,1
2026-06-16,5,1,1
2026-06-17,5,1,5
2026-06-18,5,1,1
2026-06-19,5,1,1
2026-06-20,5,1,1
2026-06-21,5,1,2
2026-06-22,5,1,4
2026-06-23,5,1,0
2026-06-24,5,1,4
2026-06-25,5,1,2
2026-06-26,5,1,2
2026-06-27,5,1,18
2026-06-28,5,1,5
2026-06-29,5,1,16
2026-06-30,5,1,17
2026-07-01,6,4,26
2026-07-02,6,4,17
2026-07-03,6,4,31
2026-07-04,6,4,31
2026-07-05,6,4,16
2026-07-06,6,4,27
2026-07-07,6,4,17
2026-07-08,6,4,20
2026-07-09,6,4,37
2026-07-10,6,4,28
2026-07-11,6,4,24
2026-07-12,6,4,15
2026-07-13,6,4,35
2026-07-14,6,4,29
2026-07-15,6,4,33
2026-07-16,6,4,20
2026-07-17,6,4,34
2026-07-18,6,4,22
2026-07-19,6,4,31
2026-07-20,6,4,40
2026-07-21,6,4,47
2026-07-22,6,4,30
2026-07-23,6,4,32
2026-07-24,6,4,34
2026-07-25,6,4,32
2026-07-26,6,4,26
2026-07-27,6,4,45
2026-07-28,6,4,38
2026-07-29,6,4,30
2026-07-30,6,4,48
2026-07-31,6,4,41
2026-08-01,6,4,23
2026-08-02,6,4,44
2026-08-03,6,4,40
2026-08-04,6,4,57
2026-08-05,6,4,44
2026-08-06,6,4,42
2026-08-07,6,4,50
2026-08-08,6,4,43
2026-08-09,6,4,44
2026-08-10,6,4,74
2026-08-11,6,4,67
2026-08-12,6,4,66
2026-08-13,6,4,73
2026-08-14,6,4,51
2026-08-15,6,4,30
2026-08-16,6,4,51
2026-08-17,6,4,64
